Date,Value
09-09-2021,10
09-10-2021,9.9993
09-11-2021,9.9996
09-12-2021,9.9994
9/13/2021,9.9994
9/14/2021,9.9992
9/15/2021,9.9992
9/16/2021,9.9975
9/17/2021,9.998
9/18/2021,9.9962
9/19/2021,9.9967
9/20/2021,9.9995
9/21/2021,9.9995
9/22/2021,9.9991
9/23/2021,9.9992
9/24/2021,9.9985
9/25/2021,9.9986
9/26/2021,9.9984
9/27/2021,9.9984
9/28/2021,9.9983
9/29/2021,9.9983
9/30/2021,9.9982
10-01-2021,9.9982
10-02-2021,9.9981
10-03-2021,9.9981
10-04-2021,9.9964
10-05-2021,9.9968
10-06-2021,9.995
10-07-2021,9.9954
10-08-2021,9.9933
10-09-2021,9.994
10-10-2021,9.9918
10-11-2021,9.9924
10-12-2021,9.9907
10/13/2021,9.9914
10/14/2021,9.9942
10/15/2021,9.9942
10/16/2021,9.9973
10/17/2021,9.9973
10/18/2021,10.0004
10/19/2021,10.0004
10/20/2021,10.0039
10/21/2021,10.0039
10/22/2021,10.0035
10/23/2021,10.0036
10/24/2021,10.0031
10/25/2021,10.0032
10/26/2021,10.0027
10/27/2021,10.0027
10/28/2021,10.0022
10/29/2021,10.0024
10/30/2021,10.0018
10/31/2021,10.002
11-01-2021,10.0013
11-02-2021,10.0013
11-03-2021,10.0006
11-04-2021,10.0007
11-05-2021,10.0003
11-06-2021,10.0004
11-07-2021,9.9999
11-08-2021,10
11-09-2021,9.9999
11-10-2021,9.9999
11-11-2021,9.9998
11-12-2021,9.9998
11/13/2021,9.9996
11/14/2021,9.9996
11/15/2021,9.9995
11/16/2021,9.9995
11/17/2021,9.9994
11/18/2021,9.9994
11/19/2021,9.9977
11/20/2021,9.9984
11/21/2021,9.9966
11/22/2021,9.9972
11/23/2021,9.9954
11/24/2021,9.9961
11/25/2021,9.9943
11/26/2021,9.995
11/27/2021,9.993
11/28/2021,9.9937
11/29/2021,9.9917
11/30/2021,9.9925
12-01-2021,9.9905
12-02-2021,9.991
12-03-2021,9.9938
12-04-2021,9.9938
12-05-2021,9.9969
12-06-2021,9.9969
12-07-2021,10.0003
12-08-2021,10.0003
12-09-2021,10.0032
12-10-2021,10.0032
12-11-2021,10.0064
12-12-2021,10.0064
12/13/2021,10.0062
12/14/2021,10.0062
12/15/2021,10.0058
12/16/2021,10.0059
12/17/2021,10.0055
12/18/2021,10.0055
12/19/2021,10.005
12/20/2021,10.0051
12/21/2021,10.0046
12/22/2021,10.0046
12/23/2021,10.0038
12/24/2021,10.0039
12/25/2021,10.0031
12/26/2021,10.0032
12/27/2021,10.0027
12/28/2021,10.0028
12/29/2021,10.0022
12/30/2021,10.0024
12/31/2021,10.0022
01-01-2022,10.0022
01-02-2022,10.0021
01-03-2022,10.0021
01-04-2022,10.002
01-05-2022,10.002
01-06-2022,10.0015
01-07-2022,10.0017
01-08-2022,10.001
01-09-2022,10.0012
01-10-2022,9.9995
01-11-2022,10.0002
01-12-2022,9.9985
1/13/2022,9.9987
1/14/2022,9.997
1/15/2022,9.9973
1/16/2022,9.9956
1/17/2022,9.9958
1/18/2022,9.9941
1/19/2022,9.9947
1/20/2022,9.993
1/21/2022,9.9934
1/22/2022,9.9962
1/23/2022,9.9962
1/24/2022,9.9993
1/25/2022,9.9993
1/26/2022,10.0027
1/27/2022,10.0027
1/28/2022,10.0007
1/29/2022,10.001
1/30/2022,9.999
1/31/2022,9.9995
02-01-2022,9.9976
02-02-2022,9.9978
02-03-2022,9.9959
02-04-2022,9.9968
02-05-2022,9.9948
02-06-2022,9.9949
02-07-2022,9.9929
02-08-2022,9.9933
02-09-2022,9.9914
02-10-2022,9.9919
02-11-2022,9.9899
02-12-2022,9.9903
2/13/2022,9.9883
2/14/2022,9.9892
2/15/2022,9.992
2/16/2022,9.992
2/17/2022,9.9951
2/18/2022,9.9951
2/19/2022,9.9985
2/20/2022,9.9985
2/21/2022,9.9983
2/22/2022,9.9983
2/23/2022,9.9981
2/24/2022,9.9981
2/25/2022,10.0009
2/26/2022,10.0009
2/27/2022,10.0007
2/28/2022,10.0007
03-01-2022,10.0005
03-02-2022,10.0005
03-03-2022,10.0003
03-04-2022,10.0003
03-05-2022,10.0001
03-06-2022,10.0001
03-07-2022,9.9999
03-08-2022,9.9999
03-09-2022,9.9997
03-10-2022,9.9997
03-11-2022,9.9995
03-12-2022,9.9995
3/13/2022,9.9994
3/14/2022,9.9994
3/15/2022,9.9993
3/16/2022,9.9993
3/17/2022,9.9992
3/18/2022,9.9992
3/19/2022,9.9991
3/20/2022,9.9991
3/21/2022,9.9987
3/22/2022,9.9988
3/23/2022,9.9984
3/24/2022,9.9984
3/25/2022,9.998
3/26/2022,9.998
